what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1466027364969
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1466027364969
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1466027364969
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1466027364969
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1466027364970
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1466027364970
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1466027364970
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1466027364970
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1466027364970
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1466027364970
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1466027364970
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1466027364970
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1466027364970
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1466027364970
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1466027364970
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1466027364970
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1466027364970
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1466027364970
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1466027364971
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1466027364971
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1466027364971
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1466027364971
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1466027364972
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1466027364972
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1466027364972
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1466027364972
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1466027364972
os,sysinfo,,,"linux",1466027364976
arch,sysinfo,,,"x86_64",1466027364976
ws,sysinfo,,,"gtk",1466027364976
locale,sysinfo,,,"en_US",1466027364976
processors,sysinfo,,,"4",1466027364976
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1466027364976
java.runtime.version,sysinfo,,,"1.8.0_91-b14",1466027364977
java.specification.name,sysinfo,,,"Java Platform API Specification",1466027364977
java.specification.vendor,sysinfo,,,"Oracle Corporation",1466027364977
java.specification.version,sysinfo,,,"1.8",1466027364977
java.vendor,sysinfo,,,"Oracle Corporation",1466027364977
java.version,sysinfo,,,"1.8.0_91",1466027364977
java.vm.info,sysinfo,,,"mixed mode",1466027364977
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1466027364977
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1466027364977
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1466027364977
java.vm.specification.version,sysinfo,,,"1.8",1466027364977
java.vm.vendor,sysinfo,,,"Oracle Corporation",1466027364977
java.vm.version,sysinfo,,,"25.91-b14",1466027364977
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1466027370811
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1466027370876
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1466027370913
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1466027386349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466027398375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466027864644
started,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1466027869520
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1466027869570
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1466027870375
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1466027873441
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1466027873927
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1466027873934
